Year,Month,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen
2010,Januar,7336,8590,2631,1563,487,1446,4151,1048,5141,12187,2660,578,2763,1447,1833,1412
2010,Februar,6777,7759,2474,1387,432,1301,3832,948,4745,10938,2358,545,2525,1330,1729,1234
2010,März,7414,8812,2721,1554,413,1450,4214,1119,5163,11962,2564,563,2803,1370,1890,1474
2010,April,6997,8105,2626,1421,412,1319,4052,1001,4677,11408,2335,529,2766,1323,1704,1345
2010,Mai,7647,8763,2868,1596,448,1454,4189,1116,5321,11901,2575,516,2979,1344,1906,1431
2010,Juni,7597,8838,2832,1709,463,1511,4385,1172,5380,12455,2699,591,2992,1536,1873,1498
2010,Juli,8197,9514,2991,1752,533,1582,4619,1227,5781,13445,2910,693,3384,1565,2156,1569
2010,August,8054,9374,2909,1699,518,1513,4603,1222,5570,12706,2725,633,3132,1591,1983,1613
2010,September,8063,9409,2965,1763,493,1506,4756,1210,5770,13476,2859,593,3084,1588,1997,1593
2010,Oktober,7885,9263,2870,1549,509,1438,4441,1134,5500,12810,2778,641,3008,1442,2016,1532
2010,November,7372,8383,2705,1562,453,1458,4165,1061,5059,11841,2534,581,2870,1346,1760,1426
2010,Dezember,7356,8441,2801,1399,438,1399,4335,1079,5023,12204,2577,603,2785,1418,1731,1400
2011,Januar,7392,8628,2725,1449,460,1420,4251,1018,5069,12006,2573,577,2706,1410,1753,1365
2011,Februar,6657,7905,2500,1318,448,1376,3865,920,4761,11112,2319,583,2553,1304,1619,1280
2011,März,7130,8357,2671,1598,450,1369,4024,1004,4998,11611,2507,512,2775,1352,1727,1348
2011,April,6722,7756,2527,1347,443,1212,3997,976,4557,10746,2265,556,2598,1210,1610,1269
2011,Mai,7414,8722,2799,1502,409,1475,4251,1083,5002,11858,2595,559,2871,1340,1809,1370
2011,Juni,7526,8777,2871,1604,480,1476,4460,1144,5326,12204,2688,619,2988,1481,1818,1485
2011,Juli,8168,9551,2963,1702,481,1586,4876,1141,5775,13042,2866,628,3128,1578,2018,1666
2011,August,8180,9308,3035,1768,480,1586,4666,1206,5752,12964,2788,666,3274,1549,1944,1640
2011,September,8084,9411,2981,1644,481,1559,4700,1156,5608,12849,2997,616,3230,1508,1946,1538
2011,Oktober,7574,8848,2730,1558,450,1342,4341,1055,5031,12104,2633,625,2969,1448,1803,1426
2011,November,6950,8158,2657,1399,418,1324,4003,978,4601,11240,2401,594,2714,1296,1597,1361
2011,Dezember,7026,8247,2616,1390,388,1400,4045,957,4800,11361,2449,553,2617,1361,1687,1325
2012,Januar,7115,8649,2805,1455,451,1456,4251,977,4896,11977,2516,563,2797,1419,1818,1383
2012,Februar,6808,8199,2736,1435,425,1328,3834,1040,4461,11245,2312,515,2622,1328,1712,1280
2012,März,7367,8819,2744,1417,456,1499,4137,1049,5114,11982,2604,540,2779,1294,1830,1395
2012,April,7043,8471,2741,1504,480,1406,4067,990,4950,11236,2464,543,2752,1300,1819,1393
2012,Mai,7568,9173,2881,1523,481,1478,4320,1078,5094,12241,2562,604,2905,1415,1821,1539
2012,Juni,7253,8622,2841,1615,491,1393,4257,1058,5259,11871,2617,559,2944,1384,1904,1457
2012,Juli,8182,9706,3226,1760,446,1607,4774,1132,5644,13055,2847,618,3237,1572,1914,1626
2012,August,8196,9883,3104,1698,521,1520,4793,1184,5652,13364,2727,656,3171,1564,2075,1566
2012,September,8053,9618,3022,1632,507,1532,4515,1126,5342,12860,2788,613,3063,1509,1843,1592
