Jahr,1_Merkmal_Code,1_Auspraegung_Label,2_Auspraegung_Label,3_Merkmal_Code,3_Merkmal_Label,3_Auspraegung_Code,3_Auspraegung_Label,birth
1998,DLAND,Baden-Wuerttemberg,Januar,GES,Geschlecht,,Insgesamt,9607
1998,DLAND,Baden-Wuerttemberg,Februar,GES,Geschlecht,,Insgesamt,8585
1998,DLAND,Baden-Wuerttemberg,Maerz,GES,Geschlecht,,Insgesamt,9285
1998,DLAND,Baden-Wuerttemberg,April,GES,Geschlecht,,Insgesamt,9046
1998,DLAND,Baden-Wuerttemberg,Mai,GES,Geschlecht,,Insgesamt,9265
1998,DLAND,Baden-Wuerttemberg,Juni,GES,Geschlecht,,Insgesamt,9035
1998,DLAND,Baden-Wuerttemberg,Juli,GES,Geschlecht,,Insgesamt,9965
1998,DLAND,Baden-Wuerttemberg,August,GES,Geschlecht,,Insgesamt,9767
1998,DLAND,Baden-Wuerttemberg,September,GES,Geschlecht,,Insgesamt,10034
1998,DLAND,Baden-Wuerttemberg,Oktober,GES,Geschlecht,,Insgesamt,9174
1998,DLAND,Baden-Wuerttemberg,November,GES,Geschlecht,,Insgesamt,8442
1998,DLAND,Baden-Wuerttemberg,Dezember,GES,Geschlecht,,Insgesamt,8851
1998,DLAND,Bayern,Januar,GES,Geschlecht,,Insgesamt,10853
1998,DLAND,Bayern,Februar,GES,Geschlecht,,Insgesamt,10270
1998,DLAND,Bayern,Maerz,GES,Geschlecht,,Insgesamt,10611
1998,DLAND,Bayern,April,GES,Geschlecht,,Insgesamt,10439
1998,DLAND,Bayern,Mai,GES,Geschlecht,,Insgesamt,10768
1998,DLAND,Bayern,Juni,GES,Geschlecht,,Insgesamt,10121
1998,DLAND,Bayern,Juli,GES,Geschlecht,,Insgesamt,11434
1998,DLAND,Bayern,August,GES,Geschlecht,,Insgesamt,11077
1998,DLAND,Bayern,September,GES,Geschlecht,,Insgesamt,11207
1998,DLAND,Bayern,Oktober,GES,Geschlecht,,Insgesamt,10385
1998,DLAND,Bayern,November,GES,Geschlecht,,Insgesamt,9618
1998,DLAND,Bayern,Dezember,GES,Geschlecht,,Insgesamt,9746
1998,DLAND,Berlin,Januar,GES,Geschlecht,,Insgesamt,2416
1998,DLAND,Berlin,Februar,GES,Geschlecht,,Insgesamt,2195
1998,DLAND,Berlin,Maerz,GES,Geschlecht,,Insgesamt,2513
1998,DLAND,Berlin,April,GES,Geschlecht,,Insgesamt,2421
1998,DLAND,Berlin,Mai,GES,Geschlecht,,Insgesamt,2448
1998,DLAND,Berlin,Juni,GES,Geschlecht,,Insgesamt,2318
1998,DLAND,Berlin,Juli,GES,Geschlecht,,Insgesamt,2637
1998,DLAND,Berlin,August,GES,Geschlecht,,Insgesamt,2734
1998,DLAND,Berlin,September,GES,Geschlecht,,Insgesamt,2675
1998,DLAND,Berlin,Oktober,GES,Geschlecht,,Insgesamt,2500
1998,DLAND,Berlin,November,GES,Geschlecht,,Insgesamt,2391
