Bundesländer,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Baden-Württemberg,21833,21697,22050,22736,23700,25046,25129,23854,22686,22145,22792,21542,21958,23113,22226,20933,20328,19903,19664,18356,18344,18956,18081,18374,17080,15761
Bayern,26553,25438,27250,28347,29503,29992,29748,28417,27259,27154,27566,25427,26807,27004,25644,24797,24463,24247,24134,22599,22464,22317,21484,21605,20290,19727
Berlin,9677,10001,9624,8731,9322,10102,10245,9785,8315,7760,7716,7395,8384,7930,7267,6628,6405,6427,6253,6070,5342,5898,5449,5842,5851,5388
Brandenburg,5540,5559,6010,6043,5829,6107,5773,5792,5525,5127,5060,5323,5190,5344,5031,5003,4887,4845,4691,4445,4212,4424,4156,4167,4054,3802
Bremen,1996,1906,1814,1804,1742,1797,1954,1777,1647,1595,1647,1590,1536,1566,1391,1404,1382,1393,1419,1332,1181,1106,1188,1137,1121,1083
Hamburg,4968,4341,4637,4328,4560,4989,4892,4994,4583,4385,4476,3970,3659,3635,3446,3199,3265,3190,3204,2912,2802,3079,2959,3275,3132,2619
Hessen,14676,15256,14905,15078,15785,16288,16573,15552,15405,15469,15437,14896,15088,14905,14334,13180,13149,12834,13264,12500,11949,12021,11751,12037,10735,10170
Mecklenburg-Vorpommern,3891,3456,3951,4021,3505,3677,3940,3858,3213,3000,3195,3221,3238,3407,3276,2903,3054,2573,2866,2976,2858,2837,2577,2499,2618,2485
Niedersachsen,18154,18106,18367,19485,21044,21921,21872,20177,19058,19682,20368,19181,18974,18953,17806,17307,16776,17226,17120,15986,15186,15275,14908,14420,14315,13333
Nordrhein-Westfalen,45246,45105,45201,46913,47208,50962,51139,47480,45665,43104,46098,45978,45711,44501,43399,40450,39489,38312,37650,35778,34602,33800,32554,31891,30448,29116
Rheinland-Pfalz,10148,9860,10416,10301,11187,11567,11298,10653,10078,10324,10273,10609,10483,11041,9724,9377,9022,8835,8897,8362,8025,8008,7800,7416,7734,7105
Saarland,2996,2902,3066,3100,2981,2867,2786,2924,2497,2802,2734,2639,2712,2659,2491,2237,2133,2131,2209,2037,1910,1985,1916,1925,1905,1638
Sachsen,9337,8748,8775,8430,8515,8946,8842,8429,7759,7749,7716,7687,7285,7146,7104,7272,6928,7007,6698,6427,6141,6283,6217,5760,5949,5392
Sachsen-Anhalt,5274,6080,5823,5829,5838,5863,5866,5227,5097,4924,4994,4729,4500,4808,4620,4220,4199,4109,4183,3808,3479,3546,3389,3458,3275,3152
Schleswig-Holstein,7139,7175,7641,7604,8194,8293,8180,7940,7524,7434,7459,7286,7389,7431,7113,6683,6686,6308,6194,6123,6036,6010,5953,5660,5509,5092
Thüringen,4988,4960,4878,4748,5301,5558,5454,4834,4617,4418,4417,4344,4113,4197,4275,4240,4033,3995,3951,3790,3535,3465,3419,3285,3337,3145
