Bundesländer,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Baden-Württemberg,61448,59373,60724,59885,59591,58198,57898,57094,55693,56437,55422,51382,51946,50693,51382,50272,48780,47233,48612,48378,48927,48991,50555,48426,50751,52627,54556,54591,58417,54613,50533,48883,52375,47849
Bayern,74387,72651,72247,70475,69401,67075,66767,65419,64065,65489,63038,60226,60686,59009,60712,59617,57387,57220,58300,58812,59092,59274,61768,59623,62327,65128,66324,66790,72798,68501,61138,59670,65057,60549
Berlin,21850,18130,17895,17111,17269,16383,15813,15399,14526,14635,14119,12903,12800,12390,12569,12058,11634,11511,11762,12557,12394,12544,13222,12963,13373,13759,13748,12686,15660,14602,12288,12163,12341,11429
Brandenburg,16814,8328,7901,7901,8502,8775,8756,8709,9266,10219,9804,9744,9650,9974,11285,11504,11316,11430,11757,12066,12585,12115,12505,12245,12812,13314,13817,14156,15440,14203,12809,11818,13178,11895
Bremen,4338,4264,4005,3969,3859,3561,3509,3553,3477,3438,3269,3153,3130,3094,2950,2960,2850,2762,2804,2905,2978,2837,2706,2619,2800,2708,2677,2744,3360,3117,2765,2439,2642,2347
Hamburg,9938,9241,9006,8572,8537,8242,7886,7800,7994,8298,7865,7020,6999,6959,6793,6976,6921,6661,6615,7231,7452,7022,6774,6746,6142,6422,6388,5727,6274,6065,4766,4689,4323,4499
Hessen,36543,35654,36601,35070,35215,34517,33251,32877,31992,32621,32516,29832,30472,29613,29727,28669,27644,26928,26685,27248,27483,27468,27721,26894,28009,28833,29697,29281,32704,30152,27084,26589,28574,26388
Mecklenburg-Vorpommern,12706,5465,5386,5458,5626,6113,6490,6299,6903,8029,8083,7869,7901,7872,9567,9743,9440,9747,10464,10493,10751,10400,10713,10269,10678,11106,11660,11399,12274,11084,9560,8972,9747,8633
Niedersachsen,49335,48457,48796,48247,47349,46267,46669,46490,46532,47568,45233,41780,42391,40827,41794,40687,39091,38036,39234,38116,38373,37645,38947,37405,38792,40241,41284,41601,45990,42418,38791,36649,40735,37762
Nordrhein-Westfalen,114422,111286,110904,106315,104200,100793,99922,99779,97679,99645,97508,89529,89803,87768,88105,85528,81502,80091,81515,81861,81662,80829,81759,79895,82322,85045,87060,86475,96643,89476,79325,76771,85008,79261
Rheinland-Pfalz,25164,24796,24626,24006,23182,22922,22741,22509,21763,22641,22129,20608,20800,20123,21039,20265,20003,19542,20059,19867,20172,20212,20242,19223,19627,20341,21218,20747,22654,20826,18909,18528,20427,18634
Saarland,7188,7050,6943,6528,6427,6095,6181,5829,5857,6150,5856,5417,5289,5141,5265,5069,4670,4774,4936,4874,4804,4866,4968,4502,4702,4861,4980,4698,5363,4804,4339,4154,4602,4309
Sachsen,29603,14731,13405,13808,14795,15474,15402,15287,15648,17145,16482,15421,15188,14778,16851,17156,16754,16965,17397,17585,18391,17580,18348,17323,17883,18541,18750,18942,20586,18302,16890,15148,16246,15206
Sachsen-Anhalt,18393,8301,8329,8854,9415,9667,9534,9285,9485,10667,10310,9359,9274,9314,10748,10980,10114,10117,10515,10346,10453,10264,10707,10083,10146,10575,10465,10424,11370,10217,9187,8427,9266,8469
Schleswig-Holstein,18530,18258,18897,18451,18295,17671,17832,17828,17949,18396,17849,16773,17037,16984,17514,17131,16263,16451,16590,16345,16456,16019,16383,15861,15922,16880,17687,17593,19527,18602,16383,15157,17688,16112
Thüringen,15729,8306,7763,7955,8581,8781,8646,8619,8591,9296,9067,8575,8597,8372,9691,9836,9312,9454,9810,9755,10074,9750,10105,9578,9666,9734,10115,9612,10406,9342,8537,7728,8534,7637
